event_type,event_time,estimate,standard_error,conf_low,conf_high,observations,cities,estimand
GO bond issuance,15,0.0838150289017341,0.037154165015794,0.0109928654707778,0.15663719233269,346,101,Raw monthly coverage probability
GO bond issuance,16,0.115606936416185,0.034749699279255,0.0474975258288452,0.183716347003525,346,101,Raw monthly coverage probability
GO bond issuance,17,0.0867052023121387,0.0326333834921005,0.0227437706676217,0.150666633956656,346,101,Raw monthly coverage probability
GO bond issuance,18,0.092485549132948,0.0323988386375045,0.0289838254034391,0.155987272862457,346,101,Raw monthly coverage probability
Bond election,-18,2.46823069403714,1.95392338797483,-1.36145914639353,6.29792053446781,682,119,Percentage-point change from months -18 to -13
Bond election,-17,-2.51710654936462,0.899052984109262,-4.27925039821877,-0.754962700510464,682,119,Percentage-point change from months -18 to -13
Bond election,-16,3.34799608993157,1.76118801937724,-0.103932428047815,6.79992460791095,682,119,Percentage-point change from months -18 to -13
Bond election,-15,-0.757575757575766,1.45357480659886,-3.60658237850952,2.09143086335799,682,119,Percentage-point change from months -18 to -13
Bond election,-14,-0.904203323558168,1.24764948501912,-3.34959631419565,1.54118966707931,682,119,Percentage-point change from months -18 to -13
Bond election,-13,-1.63734115347019,1.05300055211025,-3.70122223560628,0.426539928665894,682,119,Percentage-point change from months -18 to -13
Bond election,-12,1.58846529814272,1.55187195328564,-1.45320373029713,4.63013432658257,682,119,Percentage-point change from months -18 to -13
Bond election,-11,2.76148582600196,2.11072810545327,-1.37554126068645,6.89851291269037,682,119,Percentage-point change from months -18 to -13
Bond election,-10,2.76148582600196,1.92394511827526,-1.00944660581755,6.53241825782148,682,119,Percentage-point change from months -18 to -13
Bond election,-9,1.0019550342131,1.7125830285767,-2.35470770179723,4.35861777022343,682,119,Percentage-point change from months -18 to -13
Bond election,-8,0.268817204301086,1.55836290555819,-2.78557409059298,3.32320849919515,682,119,Percentage-point change from months -18 to -13
Bond election,-7,1.44183773216031,2.39039456075966,-3.24333560692862,6.12701107124923,682,119,Percentage-point change from months -18 to -13
Bond election,-6,3.05474095796677,1.49200140907078,0.130418196188034,5.9790637197455,682,119,Percentage-point change from months -18 to -13
Bond election,-5,3.9345063538612,1.93769328368218,0.136627517844115,7.73238518987827,682,119,Percentage-point change from months -18 to -13
Bond election,-4,6.42717497556208,2.25156315227886,2.0141111970955,10.8402387540286,682,119,Percentage-point change from months -18 to -13
Bond election,-3,3.78787878787881,1.8747064545894,0.113454136883585,7.46230343887403,682,119,Percentage-point change from months -18 to -13
Bond election,-2,1.0019550342131,1.43018399683586,-1.80120559958518,3.80511566801139,682,119,Percentage-point change from months -18 to -13
Bond election,-1,4.37438905180836,2.07590893262113,0.305607543870942,8.44317055974578,682,119,Percentage-point change from months -18 to -13
Bond election,0,5.54740957966767,2.82708034787707,0.00633209782860078,11.0884870615067,682,119,Percentage-point change from months -18 to -13
Bond election,1,-0.610948191593345,1.57056921895466,-3.68926386074447,2.46736747755778,682,119,Percentage-point change from months -18 to -13
Bond election,2,0.56207233626591,2.3987793188985,-4.13953512877514,5.26367980130696,682,119,Percentage-point change from months -18 to -13
Bond election,3,1.73509286412512,2.09495541659342,-2.37101975239799,5.84120548064823,682,119,Percentage-point change from months -18 to -13
Bond election,4,1.73509286412512,2.10172278314552,-2.3842837908401,5.85446951909034,682,119,Percentage-point change from months -18 to -13
Bond election,5,0.562072336265885,1.15595794646848,-1.70360523881233,2.8277499113441,682,119,Percentage-point change from months -18 to -13
Bond election,6,4.66764418377321,2.73768363905095,-0.698215748766657,10.0335041163131,682,119,Percentage-point change from months -18 to -13
Bond election,7,0.415444770283476,1.72798695003534,-2.97140965178579,3.80229919235274,682,119,Percentage-point change from months -18 to -13
Bond election,8,4.81427174975562,2.28934151375427,0.32716238279725,9.30138111671399,682,119,Percentage-point change from months -18 to -13
Bond election,9,2.32160312805475,2.50145926126095,-2.5812570240167,7.22446328012621,682,119,Percentage-point change from months -18 to -13
Bond election,10,0.122189638318669,2.1030948553505,-3.9998762781683,4.24425555480564,682,119,Percentage-point change from months -18 to -13
Bond election,11,2.46823069403715,1.86730112391998,-1.19167950884601,6.1281408969203,682,119,Percentage-point change from months -18 to -13
Bond election,12,3.05474095796678,2.44588150072768,-1.73918678345948,7.84866869939304,682,119,Percentage-point change from months -18 to -13
Bond election,13,0.41544477028349,2.3300040532971,-4.15136317417883,4.98225271474581,682,119,Percentage-point change from months -18 to -13
Bond election,14,4.52101661779083,2.62595165123518,-0.625848618630126,9.66788185421178,682,119,Percentage-point change from months -18 to -13
Bond election,15,4.37438905180841,2.31279347944823,-0.158686167910111,8.90746427152693,682,119,Percentage-point change from months -18 to -13
Bond election,16,6.72043010752687,2.82083353109424,1.19159638658217,12.2492638284716,682,119,Percentage-point change from months -18 to -13
Bond election,17,2.90811339198436,2.48241163676126,-1.9574134160677,7.77364020003643,682,119,Percentage-point change from months -18 to -13
